case_id,mhd_path
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260.mhd
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492.mhd
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059.mhd
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987.mhd
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720.mhd
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565.mhd
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.126121460017257137098781143514,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.126121460017257137098781143514.mhd
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.126264578931778258890371755354,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.126264578931778258890371755354.mhd
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.128023902651233986592378348912,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.128023902651233986592378348912.mhd
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.129055977637338639741695800950,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.129055977637338639741695800950.mhd
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.130438550890816550994739120843,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.130438550890816550994739120843.mhd
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441.mhd
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097.mhd
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686.mhd
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.139258777898746693365877042411,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.139258777898746693365877042411.mhd
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.139713436241461669335487719526,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.139713436241461669335487719526.mhd
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.141069661700670042960678408762,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.141069661700670042960678408762.mhd
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.144438612068946916340281098509,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.144438612068946916340281098509.mhd
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.146429221666426688999739595820,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.146429221666426688999739595820.mhd
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.154677396354641150280013275227,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.154677396354641150280013275227.mhd
