case_id,npz_path,mhd_path,z,y,x,spacing_z,spacing_y,spacing_x,split

subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,runs/runs_final/data/drr_pairs_fixed/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260.mhd,256,256,256,1.181640625,1.5234379768371582,1.5234379768371582,train

subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492,runs/runs_final/data/drr_pairs_fixed/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492.mhd,256,256,256,1.162109375,1.4843759536743164,1.4843759536743164,train

subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720,runs/runs_final/data/drr_pairs_fixed/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720.mhd,256,256,256,1.2109375,1.2304680347442627,1.2304680347442627,train

subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565,runs/runs_final/data/drr_pairs_fixed/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565.mhd,256,256,256,1.3710937136784196,1.4453125,1.4453125,train

subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.126121460017257137098781143514,runs/runs_final/data/drr_pairs_fixed/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.126121460017257137098781143514.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.126121460017257137098781143514.mhd,256,256,256,1.298828125,1.1132819652557373,1.1132819652557373,train
