case_id,npz_path,mhd_path,z,y,x,spacing_z,spacing_y,spacing_x
1.3.6.1.4.1.14519.5.2.1.6279.6001.336225579776978874775723463327,training/npz_registry/1.3.6.1.4.1.14519.5.2.1.6279.6001.336225579776978874775723463327.npz,C:/Users/catal/XRAY_VIEW_SYNTHESIS/data/luna16/subset3/subset3/1.3.6.1.4.1.14519.5.2.1.6279.6001.336225579776978874775723463327.mhd,256,256,256,1.416015625,1.6406240463256836,1.6406240463256836
1.3.6.1.4.1.14519.5.2.1.6279.6001.226383054119800793308721198594,training/npz_registry/1.3.6.1.4.1.14519.5.2.1.6279.6001.226383054119800793308721198594.npz,C:/Users/catal/XRAY_VIEW_SYNTHESIS/data/luna16/subset2/subset2/1.3.6.1.4.1.14519.5.2.1.6279.6001.226383054119800793308721198594.mhd,256,256,256,1.1328125,1.296875,1.296875
1.3.6.1.4.1.14519.5.2.1.6279.6001.250397690690072950000431855143,training/npz_registry/1.3.6.1.4.1.14519.5.2.1.6279.6001.250397690690072950000431855143.npz,C:/Users/catal/XRAY_VIEW_SYNTHESIS/data/luna16/subset1/subset1/1.3.6.1.4.1.14519.5.2.1.6279.6001.250397690690072950000431855143.mhd,256,256,256,1.201171875,1.5234379768371582,1.5234379768371582
1.3.6.1.4.1.14519.5.2.1.6279.6001.752756872840730509471096155114,training/npz_registry/1.3.6.1.4.1.14519.5.2.1.6279.6001.752756872840730509471096155114.npz,C:/Users/catal/XRAY_VIEW_SYNTHESIS/data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.752756872840730509471096155114.mhd,256,256,256,1.240234375,1.40625,1.40625
1.3.6.1.4.1.14519.5.2.1.6279.6001.217589936421986638139451480826,training/npz_registry/1.3.6.1.4.1.14519.5.2.1.6279.6001.217589936421986638139451480826.npz,C:/Users/catal/XRAY_VIEW_SYNTHESIS/data/luna16/subset2/subset2/1.3.6.1.4.1.14519.5.2.1.6279.6001.217589936421986638139451480826.mhd,256,256,256,1.1767576932907104,1.40625,1.40625
1.3.6.1.4.1.14519.5.2.1.6279.6001.280972147860943609388015648430,training/npz_registry/1.3.6.1.4.1.14519.5.2.1.6279.6001.280972147860943609388015648430.npz,C:/Users/catal/XRAY_VIEW_SYNTHESIS/data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.280972147860943609388015648430.mhd,256,256,256,1.357421875,1.5625,1.5625
1.3.6.1.4.1.14519.5.2.1.6279.6001.149463915556499304732434215056,training/npz_registry/1.3.6.1.4.1.14519.5.2.1.6279.6001.149463915556499304732434215056.npz,C:/Users/catal/XRAY_VIEW_SYNTHESIS/data/luna16/subset3/subset3/1.3.6.1.4.1.14519.5.2.1.6279.6001.149463915556499304732434215056.mhd,256,256,256,1.2578125,1.3281240463256836,1.3281240463256836
1.3.6.1.4.1.14519.5.2.1.6279.6001.205993750485568250373835565680,training/npz_registry/1.3.6.1.4.1.14519.5.2.1.6279.6001.205993750485568250373835565680.npz,C:/Users/catal/XRAY_VIEW_SYNTHESIS/data/luna16/subset4/subset4/1.3.6.1.4.1.14519.5.2.1.6279.6001.205993750485568250373835565680.mhd,256,256,256,1.30859375,1.1367180347442627,1.1367180347442627
1.3.6.1.4.1.14519.5.2.1.6279.6001.225154811831720426832024114593,training/npz_registry/1.3.6.1.4.1.14519.5.2.1.6279.6001.225154811831720426832024114593.npz,C:/Users/catal/XRAY_VIEW_SYNTHESIS/data/luna16/subset2/subset2/1.3.6.1.4.1.14519.5.2.1.6279.6001.225154811831720426832024114593.mhd,256,256,256,1.396484375,1.5625,1.5625
1.3.6.1.4.1.14519.5.2.1.6279.6001.315214756157389122376518747372,training/npz_registry/1.3.6.1.4.1.14519.5.2.1.6279.6001.315214756157389122376518747372.npz,C:/Users/catal/XRAY_VIEW_SYNTHESIS/data/luna16/subset1/subset1/1.3.6.1.4.1.14519.5.2.1.6279.6001.315214756157389122376518747372.mhd,256,256,256,1.0986328125,1.65625,1.65625
